"","x","y","z","num","hemi","name"
"1","12","-76","12",101,"rh","V1"
"2","42","-78","-10",102,"rh","OFA"
"3","42","-66","-16",103,"rh","pFFA-1"
"4","42","-56","-12",104,"rh","pFFA-2"
"5","42","-50","-20",105,"rh","mFFA-1"
"6","42","-38","-18",106,"rh","mFFA-2"
"7","44","-28","-22",107,"rh","aFFA-1"
"8","38","-14","-28",108,"rh","aFFA-2"
"9","34","-6","-34",109,"rh","vATL"
"10","20","-6","-16",110,"rh","amygdala"
"11","-6","-80","8",201,"lh","V1"
"12","-44","-82","-10",202,"lh","OFA"
"13","-42","-66","-16",203,"lh","pFFA-1"
"14","-42","-56","-12",204,"lh","pFFA-2"
"15","-40","-50","-18",205,"lh","mFFA-1"
"16","-42","-38","-18",206,"lh","mFFA-2"
"17","-42","-28","-20",207,"lh","aFFA-1"
"18","-38","-14","-28",208,"lh","aFFA-2"
"19","-34","-6","-34",209,"lh","vATL"
"20","-20","-8","-16",210,"lh","amygdala"
